epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,18.2287,0.71311,0.75622,1.10948,0.84009,0.4915,0.53027,0.31523,1.76667,2.00857,1.44625,2.23929e-05,2.23929e-05,2.23929e-05
78,18.3968,0.84205,1.0103,1.25995,0.83935,0.4901,0.52596,0.32089,1.78849,2.05975,1.46991,2.17805e-05,2.17805e-05,2.17805e-05
79,18.656,0.7385,0.90752,1.17131,0.83935,0.4901,0.52596,0.32089,1.78849,2.05975,1.46991,2.11444e-05,2.11444e-05,2.11444e-05
80,18.8099,0.63098,0.64265,1.00228,0.83935,0.4901,0.52596,0.32089,1.78849,2.05975,1.46991,2.04848e-05,2.04848e-05,2.04848e-05
81,18.975,0.78392,0.93867,1.26759,0.84232,0.48173,0.53033,0.31984,1.7857,2.08331,1.47233,1.98016e-05,1.98016e-05,1.98016e-05
82,19.1262,0.68343,0.68111,1.21972,0.84232,0.48173,0.53033,0.31984,1.7857,2.08331,1.47233,1.90949e-05,1.90949e-05,1.90949e-05
83,19.2788,0.8639,0.70728,1.37299,0.84232,0.48173,0.53033,0.31984,1.7857,2.08331,1.47233,1.83646e-05,1.83646e-05,1.83646e-05
84,19.4447,0.7172,0.76295,1.10986,0.84687,0.47168,0.52537,0.30967,1.77126,2.07657,1.46769,1.76107e-05,1.76107e-05,1.76107e-05
85,19.5939,0.76514,0.9157,1.16571,0.84687,0.47168,0.52537,0.30967,1.77126,2.07657,1.46769,1.68333e-05,1.68333e-05,1.68333e-05
86,19.747,0.67299,1.03129,1.09992,0.84687,0.47168,0.52537,0.30967,1.77126,2.07657,1.46769,1.60323e-05,1.60323e-05,1.60323e-05
87,19.9034,1.17688,1.79498,1.63464,0.84687,0.47168,0.52537,0.30967,1.77126,2.07657,1.46769,1.52077e-05,1.52077e-05,1.52077e-05
88,20.069,0.62236,0.8358,1.07591,0.84331,0.47347,0.52763,0.31259,1.80341,2.14318,1.50508,1.43596e-05,1.43596e-05,1.43596e-05
89,20.2257,0.68927,0.7377,1.36583,0.84331,0.47347,0.52763,0.31259,1.80341,2.14318,1.50508,1.34879e-05,1.34879e-05,1.34879e-05
90,20.4863,0.79855,0.7951,1.2417,0.84331,0.47347,0.52763,0.31259,1.80341,2.14318,1.50508,1.25927e-05,1.25927e-05,1.25927e-05
91,20.8693,0.52186,0.5001,0.94637,0.84331,0.47347,0.52763,0.31259,1.80341,2.14318,1.50508,1.16739e-05,1.16739e-05,1.16739e-05
92,21.0466,0.48581,0.48512,0.82984,0.84189,0.47422,0.52322,0.30147,1.77164,2.06899,1.46533,1.07315e-05,1.07315e-05,1.07315e-05
93,21.2078,0.56494,0.51507,0.96603,0.84189,0.47422,0.52322,0.30147,1.77164,2.06899,1.46533,9.76562e-06,9.76562e-06,9.76562e-06
94,21.3664,0.57687,0.54103,1.02778,0.84189,0.47422,0.52322,0.30147,1.77164,2.06899,1.46533,8.77613e-06,8.77613e-06,8.77613e-06
95,21.5189,0.65516,0.62178,1.04978,0.84189,0.47422,0.52322,0.30147,1.77164,2.06899,1.46533,7.76308e-06,7.76308e-06,7.76308e-06
96,21.6897,0.63507,0.53051,1.21363,0.87022,0.4668,0.52205,0.30125,1.79704,1.95868,1.45817,6.72648e-06,6.72648e-06,6.72648e-06
97,21.8473,0.60486,0.52847,0.98244,0.87022,0.4668,0.52205,0.30125,1.79704,1.95868,1.45817,5.6663e-06,5.6663e-06,5.6663e-06
98,22.0073,0.57012,0.53849,1.0918,0.87022,0.4668,0.52205,0.30125,1.79704,1.95868,1.45817,4.58257e-06,4.58257e-06,4.58257e-06
99,22.1636,0.50821,0.5112,0.91358,0.87022,0.4668,0.52205,0.30125,1.79704,1.95868,1.45817,3.47528e-06,3.47528e-06,3.47528e-06
100,22.3269,0.49132,0.4651,1.0028,0.87866,0.48333,0.53326,0.3404,1.81003,1.89322,1.46853,2.34442e-06,2.34442e-06,2.34442e-06
